Paper,DOI,Publication Year,Corresponding Author,Email,Physical Address,Analyte Polymer,Critical Component,Architecture,Critical Condition Basis,Column Name,Stationary Phase Chemistry,Column Mode,Pore Size,Column Dimensions,Mobile Phase Solvents,Mobile Phase Ratio,Mobile Phase Ratio Units,Aqueous pH,Aqueous Salt Added,Aqueous Salt Type,Aqueous Salt Concentration,Temperature (°C),Flow Rate,Detector,Consensus Confidence,Qwen Confidence,Mistral Confidence,Evidence: Critical Condition,Evidence: Critical Component,Evidence: Column Name,Evidence: Mobile Phase Solvents,Evidence: Mobile Phase Ratio,Evidence: Temperature,Evidence: Pore Size,Evidence: Flow Rate,Notes
[113] Pasch.pdf,,1994,H. Pasch; I. Zammert,,"Deutsches Kunststoff-Institut Schlo8BgartenstraBe 6 64289 Darmstadt, Germany",C13-PEO,PEO backbone,linear,liquid chromatography at the critical point of adsorption,Nucleosil RP-8,RP-8,Reversed Phase,,60x4mm L.D.,"acetonitrile, water",44:56,% by volume,,False,,,25,,differential refractometer R401; u.v./vis filter photometer,explicit,explicit,missed,In this case C;3- and C15-terminated PEO's elute from the column at the critical point of adsorption,critical point of adsorption of PEO,Nucleosil RP-8,acetonitrile-water,acetonitrile-water 44:56% by volume,keeping the temperature for all experiments at 25°C,,,RP-8 column used to reduce retention for C13-PEO at critical point.
[113] Pasch.pdf,,1994,H. Pasch; I. Zammert,,"Deutsches Kunststoff-Institut Schlo8BgartenstraBe 6 64289 Darmstadt, Germany",C15-PEO,PEO backbone,linear,liquid chromatography at the critical point of adsorption,Nucleosil RP-8,RP-8,Reversed Phase,,60x4mm L.D.,"acetonitrile, water",44:56,% by volume,,False,,,25,,differential refractometer R401; u.v./vis filter photometer,explicit,explicit,missed,In this case C;3- and C15-terminated PEO's elute from the column at the critical point of adsorption,critical point of adsorption of PEO,Nucleosil RP-8,acetonitrile-water,acetonitrile-water 44:56% by volume,keeping the temperature for all experiments at 25°C,,,RP-8 column used to reduce retention for C15-PEO at critical point.
[115] Falkenhagen2000.pdf,10.1080/10236660008034644,2000,St. Weidner,,"Federal Institute for Materials Research and Testing, (BAM), Dept. VI. 3, Unter den Eichen 87, D-12205 Berlin, Germany",PEO-co-PM,PEO,diblock,critical conditions of adsorption,Nucleosil 300A,silica,Normal Phase,55 um,250 mm x 4 mm ID,"methanol, water",78.5/21.5,wt%,,False,,,45,0.5 mL/min,"ELSD, refractive index",explicit,explicit,explicit,"The determination of 'critical conditions' of adsorption was performed starting with methanol as a thermodynamically 'good' solvent. Successive addition of water as a thermodynamically 'poor' solvent resulted in a change of the chromatographic mode to adsorption mode. The 'critical point of adsorption' was reached if samples with the same chemical composition, but different molecular weight, were eluted in one peak.",The 'critical solvent composition' (CSC) could be obtained by adjusting a methanol/water mixture of 78.5/21.5wt%,A Hewlett Packard HP 1090M liquid chromatograph equipped with a Nucleosil 300A column,Successive addition of water as a thermodynamically 'poor' solvent,The 'critical solvent composition' (CSC) could be obtained by adjusting a methanol/water mixture of 78.5/21.5wt%,The chromatographic systems were kept at a constant temperature of 45°C.,Nucleosil 300A column with S5um pore size,The eluent flow was adjusted at 0.5mL/min.,"The text states that at this composition, samples with the same chemical composition but different molecular weight elute in one peak, defining the critical condition for the PEO block."
[117] Murgasova1998.pdf,,1998,R. Murgasova,,"Polymer Institute, Slovak Academy of Sciences, Du´ bravska´ cesta 9, 842 36 Bratislava, Slovakia",PEO-MA macromonomers,PEO-MA macromonomers,linear,retention volume does not change with molar mass,phenogel,styrene/divinylbenzene gel,Size Exclusion,10 um,7.8 x 300 mm,"THF, n-hexane",71:29,wt%,,False,,,30,1 mL/min,Model DDL-21 evaporative light-scattering detector,explicit,explicit,missed,"At a solvent oxide) composition of THF/hexane = 71:29% by weight, 2 0 = 514 nm = 514 nm in the retention volume does not change with molar mass.",CAP of PEO-MA macromonomers was reached,"A chromatographic phenogel (linear, _d_ p = 10 m, 7.8 × 300 mm) column was packed with the styrene/divinylbenzene gel.","Mixtures of analytical grade THF (Merck, Darmstadt, Germany) and _n_ -hexane (Lachema, Brno, Czech Republic)",THF/hexane = 71:29% by weight,The temperature during all experiments was maintained at 30°C,_d_ p = 10 m,flow rate of 1 mL/min,"Critical condition established for PEO-MA macromonomers to analyze polystyrene-graft-poly(ethylene oxide) copolymers. The PEO side chains are at the critical point, making them chromatographically invisible, while the PS backbone is separated by SEC."
[117] Murgasova1998.pdf,,1998,Dusan Berek,,"Polymer Institute, Slovak Academy of Sciences, Dúbravská cesta 9, 842 36 Bratislava, Slovakia",polystyrene-graft-poly(ethylene oxide),poly(ethylene oxide),graft,"The data obtained by LC CAP (the apparent molecular weights of the polystyrene backbone, the number of the grafts per unit backbone and the amount of poly(ethylene oxide) in the graft copolymers) were compared with results of static light scattering (SLS), differential refractometry and conventional SEC.",phenogel (linear),styrene/divinylbenzene gel,Size Exclusion,10 m,7.8 × 300 mm,"THF, n-hexane",71:29,wt%,,False,,,30,1 mL/min,Model DDL-21 evaporative light-scattering detector,explicit,missed,explicit,"The data obtained by LC CAP (the apparent molecular weights of the polystyrene backbone, the number of the grafts per unit backbone and the amount of poly(ethylene oxide) in the graft copolymers) were compared with results of static light scattering (SLS), differential refractometry and conventional SEC.",The side chain of a graft copolymer eluted at CAP the main polystyrene chain could be characterized on the basis of the SEC mechanism.,"A chromatographic phenogel (linear, d p = 10 m, 7.8 × 300 mm) column was packed with the styrene/divinylbenzene gel.","Mixtures of analytical grade THF (Merck, Darmstadt, Germany) and n-hexane (Lachema, Brno, Czech Republic), both purified by distillation, were used as mobile phases.","At a solvent oxide) composition of THF/hexane = 71:29% by weight, 2 0 = 514 nm = 514 nm in the retention volume does not change with molar mass.",The temperature during all experiments was maintained at 30°C with a Knauer column oven.,"A chromatographic phenogel (linear, d p = 10 m, 7.8 × 300 mm) column was packed with the styrene/divinylbenzene gel.",The data were collected on-line using a Waters PC-based data acquisition system.,"Critical condition established for PEO side chains in polystyrene-graft-poly(ethylene oxide) copolymers. The PEO side chains are at the critical point, making them chromatographically invisible, while the PS backbone is separated by SEC."
[118] Trathnigg1994.pdf,,1994,B. Trathnigg; D. Thamer; X. Yan; B. Maier; H.-R. Holzbauer; H. Much,,"Institute of Organic Chemistry, University of Graz, Graz, Austria; Centre of Macromolecular Chemistry, Berlin, Germany",polyethylene glycol,polyethylene glycol,linear,elution independent of molar mass,ODS2,C18,Reversed Phase,,250 x 4.6 mm,"methanol, water",80:20,w/w,,False,,,,0.5 ml/min,density and RI,explicit,explicit,explicit,all PEGs eluted at the same elution volume,polyethylene glycol,ODS2,methanol—water,80:20,,,0.5 ml/min in the analytical measurements,Critical condition established for PEGs to analyze ethoxylated fatty alcohols. The text states 'all PEGs eluted at the same elution Volume' indicating critical conditions for the PEO block.
[120] Trathnigg2001.pdf,,2001,Bernd Trathnigg; Manfred Kollroser,trathnig@kfunigraz.ac.at,"Institute of Chemistry, Karl-Franzens-University, Heinrichstrasse 28, A-8010 Graz, Austria; Institute of Forensic Medicine, Karl-Franzens-University, A-8010 Graz, Austria",Brij 30,polyoxyethylene,linear,LCCC on a reversed-phase column (under critical conditions for polyoxyethylene),Spherisorb ODS2,ODS2,Reversed Phase,80 A,250x10 mm,"methanol, water",90:10,w/w,,False,,,35.0,2.0 ml/min,SICON LCD 201 RI detector combined with DDS70,explicit,explicit,missed,LCCC on a reversed-phase column (under critical conditions for polyoxyethylene) as the first dimension,critical conditions for polyoxyethylene,"Spherisorb ODS2 (250x10 mm, 5 mm, 80 A)",methanol and water,"methanol–water (90:10, w/w)",35.08C on system C,80 A,2.0 ml/min,Semi-preparative column used for analytical LCCC separation of fatty alcohol ethoxylates. Mobile phase adjusted to 90% methanol to separate fatty alcohol from ethoxylates while maintaining critical conditions for the polyoxyethylene block.
[120] Trathnigg2001.pdf,,2001,Bernd Trathnigg; Manfred Kollroser,trathnig@kfunigraz.ac.at,"Institute of Chemistry, Karl-Franzens-University, Heinrichstrasse 28, A-8010 Graz, Austria; Institute of Forensic Medicine, Karl-Franzens-University, A-8010 Graz, Austria",Brij 52,polyoxyethylene,linear,LCCC on a reversed-phase column (under critical conditions for polyoxyethylene),Spherisorb ODS2,ODS2,Reversed Phase,80 A,250x10 mm,"methanol, water",90:10,w/w,,False,,,35.0,2.0 ml/min,SICON LCD 201 RI detector combined with DDS70,explicit,explicit,missed,LCCC on a reversed-phase column (under critical conditions for polyoxyethylene) as the first dimension,critical conditions for polyoxyethylene,"Spherisorb ODS2 (250x10 mm, 5 mm, 80 A)",methanol and water,"methanol–water (90:10, w/w)",35.08C on system C,80 A,2.0 ml/min,Semi-preparative column used for analytical LCCC separation of fatty alcohol ethoxylates. Mobile phase adjusted to 90% methanol to separate fatty alcohol from ethoxylates while maintaining critical conditions for the polyoxyethylene block.
[120] Trathnigg2001.pdf,,2001,Bernd Trathnigg; Manfred Kollroser,trathnig@kfunigraz.ac.at,"Institute of Chemistry, Karl-Franzens-University, Heinrichstrasse 28, A-8010 Graz, Austria; Institute of Forensic Medicine, Karl-Franzens-University, A-8010 Graz, Austria",Brij 76,polyoxyethylene,linear,LCCC on a reversed-phase column (under critical conditions for polyoxyethylene),Spherisorb ODS2,ODS2,Reversed Phase,80 A,250x10 mm,"methanol, water",90:10,w/w,,False,,,35.0,2.0 ml/min,SICON LCD 201 RI detector combined with DDS70,explicit,explicit,missed,LCCC on a reversed-phase column (under critical conditions for polyoxyethylene) as the first dimension,critical conditions for polyoxyethylene,"Spherisorb ODS2 (250x10 mm, 5 mm, 80 A)",methanol and water,"methanol–water (90:10, w/w)",35.08C on system C,80 A,2.0 ml/min,Semi-preparative column used for analytical LCCC separation of fatty alcohol ethoxylates. Mobile phase adjusted to 90% methanol to separate fatty alcohol from ethoxylates while maintaining critical conditions for the polyoxyethylene block.
[120] Trathnigg2001.pdf,,2001,Bernd Trathnigg; Manfred Kollroser,trathnig@kfunigraz.ac.at,"Institute of Chemistry, Karl-Franzens-University, Heinrichstrasse 28, A-8010 Graz, Austria; Institute of Forensic Medicine, Karl-Franzens-University, A-8010 Graz, Austria",fatty alcohol ethoxylates,polyoxyethylene,,separation according to structural units other than the repeating unit,Spherisorb ODS2,C18,Reversed Phase,80 A,250x10 mm,"methanol, water",90:10,w/w,,False,,,,2.0 ml/min,SICON LCD 201 RI detector,explicit,missed,explicit,separation according to structural units other than the repeating unit,polyoxyethylene,Spherisorb ODS2,methanol and water,90:10,,80 A,2.0 ml/min,Semi-preparative column used for analytical LCCC separation of fatty alcohol ethoxylates. Mobile phase adjusted to 90% methanol to separate fatty alcohol from ethoxylates while maintaining critical conditions for the polyoxyethylene block.
[122] Kazanskii2000.pdf,,2000,K. S. Kazansky; G. Lapienis,,"Institute of Chemical Physics named after. N.N. Semenov Russian Academy of Sciences 117977 Moscow, st. Kosygina, 4; Center of Molecular and Macromolecular Studies Polish Academy of Sciences, Sienkiewicza 112, 90-363 Lodz, Poland",poly(ethylene glycol) methyl ether,poly(ethylene glycol) methyl ether,linear,liquid chromatography under critical conditions,Lichrosorb-10 RP-18,C18,Reversed Phase,,,"CH3CN, H2O",60:40,by volume,,False,,,,1 ml/min,Waters-410 refractometric detector,explicit,explicit,explicit,liquid chromatography under critical conditions,poly(ethylene glycol) methyl ether,Lichrosorb-10 RP-18,acetonitrile and water,60:40 by volume,,,1 ml/min,Retention volumes for PEG and MPEG were 2.98 and 3.25 ml respectively under these conditions.
[122] Kazanskii2000.pdf,,2000,K. S. Kazansky; G. Lapienis,,"Institute of Chemical Physics named after. N.N. Semenov Russian Academy of Sciences 117977 Moscow, st. Kosygina, 4; Center of Molecular and Macromolecular Studies Polish Academy of Sciences, Sienkiewicza 112, 90-363 Lodz, Poland",PEG monomethyl ethers (MPEG),PEG monomethyl ethers,Linear,Liquid chromatography under critical conditions,Lichrosorb-10 RP-18,C18,Reversed Phase,,,"CH3CN, H2O",60:40,by volume,,False,,,,1 ml/min,Waters-410 refractometric detector,explicit,explicit,missed,liquid chromatography under critical conditions,PEG monomethyl ethers,Lichrosorb-10 RP-18 column,CH3CN-H2O,60:40 by volume,,,1 ml/min,Retention volumes for PEG and MPEG were 2.98 and 3.25 ml respectively under these conditions.
[123] Lee1999.pdf,10.1021/ma9900028,1999,Taihyun Chang; Doosung Lee,tc@postech.ac.kr,"Department of Chemistry and Polymer Research Institute, POSTECH, Pohang, 790-784, Korea; Department of Polymer Science and Engineering, Sungkyunkwan University, Suwon, 440-746, Korea",PEO-PLLA diblock copolymer,PEO block,diblock,"The critical condition of liquid chromatography is the transition point of the separation mode between size exclusion and adsorption, in which the retention of a particular polymer species becomes independent of the length of the polymer chain.","Phenomenex, Luna C18",C18,Reversed Phase,100 Å,250 × 4.6 mm,"acetonitrile, water",60/40,v/v,,False,,,68,,refractive index detector,explicit,explicit,explicit,"The critical condition of liquid chromatography is the transition point of the separation mode between size exclusion and adsorption, in which the retention of a particular polymer species becomes independent of the length of the polymer chain.","The PEO block is 'invisible' in principle,","Phenomenex, Luna C18",acetonitrile (HPLC grade) and water (deionized and filtered with 0.45 µm membrane filter),60/40,68 °C,100 Å pore size,,"Critical condition established empirically using PEG standards (Mn: 1500, 3400, 8000) and applied to PEO-PLLA diblock copolymer. The text notes that the critical condition of MPEO (precursor) is slightly different due to end effects, but the PEG critical condition was used for the analysis."
[124] Lee2001.pdf,10.1021/ac001219z,2001,Taihyun Chang,tc@postech.ac.kr,"Department of Chemistry and Polymer Research Institute, Pohang University of Science and Technology, Pohang, 790-784, Korea",PEO-b-PLLA,PEO,diblock,liquid chromatography at the critical condition (LCCC) of PEO block,LUNA C18,C18,Reversed Phase,100-Å,250 x 4.6 mm,"acetonitrile, water",60/40,v/v,,False,,,68,,refractive index detector; UV-visible absorption detector,explicit,explicit,explicit,"The critical condition of PEO block was determined by monitoring the retention volumes of three different molecular weight PEG standards (Mn: 1500, 3400, and 8000). At a given composition of the eluent, the critical condition can be found by adjusting the column temperature until the molecular weight dependence of the retention time disappears.","The critical condition was achieved with a mixture of acetonitrile and water (60/40, v/v) at a column temperature of 68 °C.","a reversed-phase column (LUNA C18, 100-Å pore size, 250 × 4.6 mm)","a mixture of acetonitrile (ACN, Aldrich HPLC grade) and water (deionized and filtered with a 0.45-µm filter)","a mixture of acetonitrile and water (60/40, v/v)",68 °C column temperature,100-Å pore size,,Used for analysis of PEO-b-PLLA diblock copolymer.
[124] Lee2001.pdf,10.1021/ac001219z,2001,Taihyun Chang,tc@postech.ac.kr,"Department of Chemistry and Polymer Research Institute, Pohang University of Science and Technology, Pohang, 790-784, Korea",PLLA-b-PEO-b-PLLA,PEO,triblock,liquid chromatography at the critical condition (LCCC) of PEO block,LUNA C18,C18,Reversed Phase,100-Å,250 x 4.6 mm,"acetonitrile, water",47:53,v/v,,False,,,37,,refractive index detector; UV-visible absorption detector,explicit,explicit,explicit,"The critical condition of PEO block was determined by monitoring the retention volumes of three different molecular weight PEG standards (Mn: 1500, 3400, and 8000). At a given composition of the eluent, the critical condition can be found by adjusting the column temperature until the molecular weight dependence of the retention time disappears.","The critical condition in Figure 3 was obtained with an ACN/water mixture (47/53, v/v) at 37 °C column temperature, which is different from the condition for the diblock copolymer shown in Figure 2.","a reversed-phase column (LUNA C18, 100-Å pore size, 250 × 4.6 mm)","a mixture of acetonitrile (ACN, Aldrich HPLC grade) and water (deionized and filtered with a 0.45-µm filter)","an ACN/water mixture (47/53, v/v)",37 °C column temperature,100-Å pore size,,First condition used for triblock copolymer analysis (Figure 3).
[124] Lee2001.pdf,10.1021/ac001219z,2001,Taihyun Chang,tc@postech.ac.kr,"Department of Chemistry and Polymer Research Institute, Pohang University of Science and Technology, Pohang, 790-784, Korea",PLLA-b-PEO-b-PLLA,PEO,triblock,liquid chromatography at the critical condition (LCCC) of PEO block,LUNA C18,C18,Reversed Phase,100-Å,250 x 4.6 mm,"acetonitrile, water",54:46,v/v,,False,,,54,,refractive index detector; UV-visible absorption detector,explicit,explicit,explicit,"The critical condition of PEO block was determined by monitoring the retention volumes of three different molecular weight PEG standards (Mn: 1500, 3400, and 8000). At a given composition of the eluent, the critical condition can be found by adjusting the column temperature until the molecular weight dependence of the retention time disappears.","For the analysis of the longer PLLA blocks, the critical condition was changed again by increasing the content of ACN (ACN:H2O 54:46, v/v) and raising the temperature (54 °C) as compared to Figure 3.","a reversed-phase column (LUNA C18, 100-Å pore size, 250 × 4.6 mm)","a mixture of acetonitrile (ACN, Aldrich HPLC grade) and water (deionized and filtered with a 0.45-µm filter)","ACN:H2O 54:46, v/v",54 °C,100-Å pore size,,Second condition used for triblock copolymer analysis with longer PLLA blocks (Figure 5).
[126] Trathnigg1993.pdf,,1993,B. Trathnigg; D. Thamer; X. Yan; S. Kinugasa,,"Institute of Organic Chemistry, University of Graz, A-8010 Graz, Heinrichstrasse 28, Austria",polyethylene glycol,polyethylene glycol repeating units,linear,Critical conditions for PEG were found at a mobile phase composition of MeOH:H2O 80:20,SpHEROSIL ODS2,C18,Reversed Phase,,250 x 4.6 mm,"Methanol, Water",80:20,V/V,,False,,,,,density and RI,explicit,explicit,explicit,critical conditions for PEG,polyethylene glycol,SpHEROSIL ODS2,methanol-water,80:20,,,,"Under these conditions, elution volumes of diols, mono- and dimethylethers are quite similar, indicating separation based on end groups."
[126] Trathnigg1993.pdf,,1993,B. Trathnigg; D. Thamer; X. Yan; S. Kinugasa,,"Institute of Organic Chemistry, University of Graz, A-8010 Graz, Heinrichstrasse 28, Austria",polypropylene glycol,polyethylene glycol repeating units,linear,critical conditions for PEG,SpHEROSIL ODS2,C18,Reversed Phase,,250 x 4.6 mm,"Methanol, Water",80:20,V/V,,False,,,,,density and RI,explicit,strong_inference,explicit,critical conditions for PEG,polyethylene glycol,SpHEROSIL ODS2,methanol-water,80:20,,,,"The text states PPG is separated under conditions corresponding to critical conditions for PEG (80:20 MeOH:Water). While not explicitly called 'critical for PPG', the text implies separation based on oxypropylene units under these conditions."
